id,city,district,sub_district,area_sqft,bhk,property_type,furnishing,price_inr,price_per_sqft,source,created_at,updated_at,is_active
14,Mumbai,Kandivali,Kandivali East,1000,2,Apartment,Semi-Furnished,8200000,8200,CSV_Import,2025-06-11 21:01:45.497673,2025-06-11 21:01:45.497673,t
15,Mumbai,Goregaon,Goregaon West,1300,3,Apartment,Semi-Furnished,14500000,11153.846153846154,CSV_Import,2025-06-11 21:01:45.497674,2025-06-11 21:01:45.497674,t
16,Mumbai,Goregaon,Goregaon East,1250,3,Apartment,Unfurnished,12800000,10240,CSV_Import,2025-06-11 21:01:45.497675,2025-06-11 21:01:45.497675,t
17,Mumbai,Jogeshwari,Jogeshwari West,950,2,Apartment,Unfurnished,8500000,8947.368421052632,CSV_Import,2025-06-11 21:01:45.497676,2025-06-11 21:01:45.497676,t
18,Mumbai,Jogeshwari,Jogeshwari East,900,2,Apartment,Semi-Furnished,7800000,8666.666666666666,CSV_Import,2025-06-11 21:01:45.497677,2025-06-11 21:01:45.497677,t
19,Mumbai,Vile Parle,Vile Parle West,1100,2,Apartment,Semi-Furnished,13200000,12000,CSV_Import,2025-06-11 21:01:45.497678,2025-06-11 21:01:45.497678,t
20,Mumbai,Vile Parle,Vile Parle East,1050,2,Apartment,Unfurnished,11800000,11238.095238095239,CSV_Import,2025-06-11 21:01:45.497679,2025-06-11 21:01:45.49768,t
21,Mumbai,Santacruz,Santacruz West,1200,2,Apartment,Fully Furnished,15800000,13166.666666666666,CSV_Import,2025-06-11 21:01:45.49768,2025-06-11 21:01:45.497681,t
22,Mumbai,Santacruz,Santacruz East,1150,2,Apartment,Semi-Furnished,13500000,11739.130434782608,CSV_Import,2025-06-11 21:01:45.497681,2025-06-11 21:01:45.497682,t
23,Mumbai,Khar,Khar West,1000,2,Apartment,Fully Furnished,16500000,16500,CSV_Import,2025-06-11 21:01:45.497682,2025-06-11 21:01:45.497683,t
24,Mumbai,Khar,Khar East,950,2,Apartment,Semi-Furnished,14200000,14947.368421052632,CSV_Import,2025-06-11 21:01:45.497683,2025-06-11 21:01:45.497683,t
25,Mumbai,Juhu,Juhu Beach,1500,3,Apartment,Fully Furnished,28500000,19000,CSV_Import,2025-06-11 21:01:45.497684,2025-06-11 21:01:45.497685,t
26,Mumbai,Juhu,Juhu Scheme,1400,3,Apartment,Semi-Furnished,24800000,17714.285714285714,CSV_Import,2025-06-11 21:01:45.497685,2025-06-11 21:01:45.497685,t
27,Mumbai,Versova,Versova Village,1100,2,Apartment,Semi-Furnished,12200000,11090.90909090909,CSV_Import,2025-06-11 21:01:45.497686,2025-06-11 21:01:45.497686,t
28,Mumbai,Versova,New Versova,1050,2,Apartment,Unfurnished,11500000,10952.380952380952,CSV_Import,2025-06-11 21:01:45.497687,2025-06-11 21:01:45.497687,t
29,Mumbai,Lokhandwala,Lokhandwala Complex,1200,2,Apartment,Fully Furnished,16800000,14000,CSV_Import,2025-06-11 21:01:45.497688,2025-06-11 21:01:45.497688,t
30,Mumbai,Lokhandwala,New Lokhandwala,1150,2,Apartment,Semi-Furnished,15200000,13217.391304347826,CSV_Import,2025-06-11 21:01:45.497689,2025-06-11 21:01:45.49769,t
31,Mumbai,Worli,Lower Parel,1800,4,Apartment,Fully Furnished,45000000,25000,CSV_Import,2025-06-11 21:01:45.49769,2025-06-11 21:01:45.497691,t
32,Mumbai,Worli,Worli Naka,1650,3,Apartment,Fully Furnished,38500000,23333.333333333332,CSV_Import,2025-06-11 21:01:45.497691,2025-06-11 21:01:45.497691,t
33,Mumbai,Prabhadevi,Prabhadevi Main,1400,3,Apartment,Semi-Furnished,28500000,20357.14285714286,CSV_Import,2025-06-11 21:01:45.497692,2025-06-11 21:01:45.497692,t
34,Mumbai,Prabhadevi,Siddhivinayak,1300,3,Apartment,Unfurnished,25200000,19384.615384615383,CSV_Import,2025-06-11 21:01:45.497693,2025-06-11 21:01:45.497693,t
35,Mumbai,Matunga,Matunga West,1200,2,Apartment,Semi-Furnished,16500000,13750,CSV_Import,2025-06-11 21:01:45.497694,2025-06-11 21:01:45.497694,t
36,Mumbai,Matunga,Matunga East,1150,2,Apartment,Unfurnished,15200000,13217.391304347826,CSV_Import,2025-06-11 21:01:45.497695,2025-06-11 21:01:45.497695,t
37,Mumbai,Dadar,Dadar West,1100,2,Apartment,Semi-Furnished,18200000,16545.454545454544,CSV_Import,2025-06-11 21:01:45.497696,2025-06-11 21:01:45.497696,t
38,Mumbai,Dadar,Dadar East,1050,2,Apartment,Unfurnished,16800000,16000,CSV_Import,2025-06-11 21:01:45.497697,2025-06-11 21:01:45.497697,t
39,Mumbai,Chembur,Chembur Colony,1300,3,Apartment,Semi-Furnished,14500000,11153.846153846154,CSV_Import,2025-06-11 21:01:45.497698,2025-06-11 21:01:45.497698,t
40,Mumbai,Chembur,RCF Colony,1250,3,Apartment,Unfurnished,13200000,10560,CSV_Import,2025-06-11 21:01:45.497698,2025-06-11 21:01:45.497699,t
41,Mumbai,Ghatkopar,Ghatkopar West,1200,2,Apartment,Semi-Furnished,11800000,9833.333333333334,CSV_Import,2025-06-11 21:01:45.4977,2025-06-11 21:01:45.4977,t
42,Mumbai,Ghatkopar,Ghatkopar East,1150,2,Apartment,Unfurnished,10800000,9391.304347826086,CSV_Import,2025-06-11 21:01:45.4977,2025-06-11 21:01:45.497701,t
43,Mumbai,Kurla,Kurla West,1000,2,Apartment,Unfurnished,9200000,9200,CSV_Import,2025-06-11 21:01:45.497702,2025-06-11 21:01:45.497702,t
44,Mumbai,Kurla,Kurla East,950,2,Apartment,Semi-Furnished,8600000,9052.631578947368,CSV_Import,2025-06-11 21:01:45.497703,2025-06-11 21:01:45.497704,t
45,Mumbai,Vikhroli,Vikhroli West,1250,3,Apartment,Semi-Furnished,13800000,11040,CSV_Import,2025-06-11 21:01:45.497704,2025-06-11 21:01:45.497705,t
46,Mumbai,Vikhroli,Vikhroli East,1200,3,Apartment,Unfurnished,12600000,10500,CSV_Import,2025-06-11 21:01:45.497705,2025-06-11 21:01:45.497706,t
47,Mumbai,Mulund,Mulund West,1300,3,Apartment,Semi-Furnished,12200000,9384.615384615385,CSV_Import,2025-06-11 21:01:45.497706,2025-06-11 21:01:45.497707,t
48,Mumbai,Mulund,Mulund East,1250,3,Apartment,Unfurnished,11500000,9200,CSV_Import,2025-06-11 21:01:45.497707,2025-06-11 21:01:45.497708,t
49,Mumbai,Bhandup,Bhandup West,1150,2,Apartment,Unfurnished,9800000,8521.739130434782,CSV_Import,2025-06-11 21:01:45.497708,2025-06-11 21:01:45.497709,t
50,Mumbai,Bhandup,Bhandup East,1100,2,Apartment,Semi-Furnished,9200000,8363.636363636364,CSV_Import,2025-06-11 21:01:45.49771,2025-06-11 21:01:45.49771,t
51,Mumbai,Kanjurmarg,Kanjurmarg West,1200,2,Apartment,Semi-Furnished,10500000,8750,CSV_Import,2025-06-11 21:01:45.497711,2025-06-11 21:01:45.497711,t
52,Mumbai,Kanjurmarg,Kanjurmarg East,1150,2,Apartment,Unfurnished,9800000,8521.739130434782,CSV_Import,2025-06-11 21:01:45.497712,2025-06-11 21:01:45.497712,t
53,Mumbai,Bandra,Bandra West,2200,4,Independent House,Semi-Furnished,52000000,23636.363636363636,CSV_Import,2025-06-11 21:01:45.497713,2025-06-11 21:01:45.497713,t
54,Mumbai,Bandra,Bandra East,2000,4,Independent House,Unfurnished,45000000,22500,CSV_Import,2025-06-11 21:01:45.497714,2025-06-11 21:01:45.497714,t
55,Mumbai,Andheri,Andheri West,1800,3,Builder Floor,Semi-Furnished,28500000,15833.333333333334,CSV_Import,2025-06-11 21:01:45.497715,2025-06-11 21:01:45.497715,t
56,Mumbai,Andheri,Andheri East,1700,3,Builder Floor,Unfurnished,24800000,14588.235294117647,CSV_Import,2025-06-11 21:01:45.497716,2025-06-11 21:01:45.497716,t
57,Mumbai,Powai,Hiranandani Gardens,2500,5,Independent House,Fully Furnished,68000000,27200,CSV_Import,2025-06-11 21:01:45.497717,2025-06-11 21:01:45.497717,t
58,Mumbai,Powai,Central Powai,2300,4,Independent House,Semi-Furnished,58500000,25434.782608695652,CSV_Import,2025-06-11 21:01:45.497718,2025-06-11 21:01:45.497718,t
59,Mumbai,Thane,Ghodbunder Road,2000,4,Independent House,Unfurnished,22500000,11250,CSV_Import,2025-06-11 21:01:45.497719,2025-06-11 21:01:45.49772,t
60,Mumbai,Thane,Kasarvadavali,1800,3,Builder Floor,Semi-Furnished,18500000,10277.777777777777,CSV_Import,2025-06-11 21:01:45.49772,2025-06-11 21:01:45.497721,t
61,Mumbai,Malad,Malad West,1600,3,Builder Floor,Unfurnished,19500000,12187.5,CSV_Import,2025-06-11 21:01:45.497722,2025-06-11 21:01:45.497722,t
62,Mumbai,Malad,Malad East,1500,3,Builder Floor,Semi-Furnished,17800000,11866.666666666666,CSV_Import,2025-06-11 21:01:45.497723,2025-06-11 21:01:45.497723,t
63,Mumbai,Borivali,Borivali West,1900,3,Builder Floor,Unfurnished,22800000,12000,CSV_Import,2025-06-11 21:01:45.497724,2025-06-11 21:01:45.497724,t
64,Mumbai,Borivali,Borivali East,1800,3,Builder Floor,Semi-Furnished,20500000,11388.888888888889,CSV_Import,2025-06-11 21:01:45.497725,2025-06-11 21:01:45.497726,t
65,Mumbai,Kandivali,Kandivali West,1700,3,Builder Floor,Unfurnished,21200000,12470.588235294117,CSV_Import,2025-06-11 21:01:45.497726,2025-06-11 21:01:45.497727,t
66,Mumbai,Kandivali,Kandivali East,1600,3,Builder Floor,Semi-Furnished,19500000,12187.5,CSV_Import,2025-06-11 21:01:45.497727,2025-06-11 21:01:45.497728,t
67,Mumbai,Goregaon,Goregaon West,2100,4,Independent House,Semi-Furnished,38500000,18333.333333333332,CSV_Import,2025-06-11 21:01:45.497729,2025-06-11 21:01:45.497729,t
68,Mumbai,Goregaon,Goregaon East,2000,4,Independent House,Unfurnished,34200000,17100,CSV_Import,2025-06-11 21:01:45.49773,2025-06-11 21:01:45.49773,t
69,Mumbai,Jogeshwari,Jogeshwari West,1500,3,Builder Floor,Unfurnished,18200000,12133.333333333334,CSV_Import,2025-06-11 21:01:45.497731,2025-06-11 21:01:45.497731,t
70,Mumbai,Jogeshwari,Jogeshwari East,1400,3,Builder Floor,Semi-Furnished,16800000,12000,CSV_Import,2025-06-11 21:01:45.497732,2025-06-11 21:01:45.497733,t
71,Mumbai,Vile Parle,Vile Parle West,1800,3,Builder Floor,Semi-Furnished,28500000,15833.333333333334,CSV_Import,2025-06-11 21:01:45.497733,2025-06-11 21:01:45.497734,t
72,Mumbai,Vile Parle,Vile Parle East,1700,3,Builder Floor,Unfurnished,25200000,14823.529411764706,CSV_Import,2025-06-11 21:01:45.497735,2025-06-11 21:01:45.497736,t
73,Mumbai,Santacruz,Santacruz West,1900,3,Builder Floor,Fully Furnished,32500000,17105.263157894737,CSV_Import,2025-06-11 21:01:45.497736,2025-06-11 21:01:45.497737,t
74,Mumbai,Santacruz,Santacruz East,1800,3,Builder Floor,Semi-Furnished,28800000,16000,CSV_Import,2025-06-11 21:01:45.497737,2025-06-11 21:01:45.497738,t
75,Mumbai,Khar,Khar West,1600,3,Builder Floor,Fully Furnished,35200000,22000,CSV_Import,2025-06-11 21:01:45.497739,2025-06-11 21:01:45.497739,t
76,Mumbai,Khar,Khar East,1500,3,Builder Floor,Semi-Furnished,31500000,21000,CSV_Import,2025-06-11 21:01:45.49774,2025-06-11 21:01:45.49774,t
77,Mumbai,Juhu,Juhu Beach,3000,5,Independent House,Fully Furnished,95000000,31666.666666666668,CSV_Import,2025-06-11 21:01:45.497741,2025-06-11 21:01:45.497741,t
78,Mumbai,Juhu,Juhu Scheme,2800,5,Independent House,Semi-Furnished,82500000,29464.285714285714,CSV_Import,2025-06-11 21:01:45.497742,2025-06-11 21:01:45.497742,t
79,Mumbai,Versova,Versova Village,1700,3,Builder Floor,Semi-Furnished,26500000,15588.235294117647,CSV_Import,2025-06-11 21:01:45.497743,2025-06-11 21:01:45.497744,t
80,Mumbai,Versova,New Versova,1600,3,Builder Floor,Unfurnished,24200000,15125,CSV_Import,2025-06-11 21:01:45.497744,2025-06-11 21:01:45.497745,t
81,Mumbai,Lokhandwala,Lokhandwala Complex,1900,3,Builder Floor,Fully Furnished,35800000,18842.105263157893,CSV_Import,2025-06-11 21:01:45.497745,2025-06-11 21:01:45.497746,t
82,Mumbai,Lokhandwala,New Lokhandwala,1800,3,Builder Floor,Semi-Furnished,32200000,17888.88888888889,CSV_Import,2025-06-11 21:01:45.497746,2025-06-11 21:01:45.497747,t
83,Mumbai,Worli,Lower Parel,3500,6,Independent House,Fully Furnished,125000000,35714.28571428572,CSV_Import,2025-06-11 21:01:45.497747,2025-06-11 21:01:45.497748,t
84,Mumbai,Worli,Worli Naka,3200,5,Independent House,Fully Furnished,108000000,33750,CSV_Import,2025-06-11 21:01:45.497748,2025-06-11 21:01:45.497749,t
85,Mumbai,Prabhadevi,Prabhadevi Main,2500,4,Independent House,Semi-Furnished,78500000,31400,CSV_Import,2025-06-11 21:01:45.497749,2025-06-11 21:01:45.49775,t
86,Mumbai,Prabhadevi,Siddhivinayak,2300,4,Independent House,Unfurnished,68500000,29782.608695652172,CSV_Import,2025-06-11 21:01:45.49775,2025-06-11 21:01:45.497751,t
87,Mumbai,Matunga,Matunga West,2000,4,Builder Floor,Semi-Furnished,42500000,21250,CSV_Import,2025-06-11 21:01:45.497752,2025-06-11 21:01:45.497752,t
88,Mumbai,Matunga,Matunga East,1900,4,Builder Floor,Unfurnished,38200000,20105.263157894737,CSV_Import,2025-06-11 21:01:45.497753,2025-06-11 21:01:45.497753,t
89,Mumbai,Dadar,Dadar West,1800,3,Builder Floor,Semi-Furnished,45200000,25111.11111111111,CSV_Import,2025-06-11 21:01:45.497754,2025-06-11 21:01:45.497754,t
90,Mumbai,Dadar,Dadar East,1700,3,Builder Floor,Unfurnished,41500000,24411.764705882353,CSV_Import,2025-06-11 21:01:45.497755,2025-06-11 21:01:45.497755,t
91,Mumbai,Chembur,Chembur Colony,2200,4,Independent House,Semi-Furnished,38500000,17500,CSV_Import,2025-06-11 21:01:45.497756,2025-06-11 21:01:45.497756,t
92,Mumbai,Chembur,RCF Colony,2100,4,Independent House,Unfurnished,35200000,16761.904761904763,CSV_Import,2025-06-11 21:01:45.497757,2025-06-11 21:01:45.497757,t
93,Mumbai,Ghatkopar,Ghatkopar West,2000,4,Builder Floor,Semi-Furnished,32500000,16250,CSV_Import,2025-06-11 21:01:45.497758,2025-06-11 21:01:45.497758,t
94,Mumbai,Ghatkopar,Ghatkopar East,1900,4,Builder Floor,Unfurnished,29800000,15684.21052631579,CSV_Import,2025-06-11 21:01:45.497759,2025-06-11 21:01:45.497759,t
95,Mumbai,Kurla,Kurla West,1600,3,Builder Floor,Unfurnished,22500000,14062.5,CSV_Import,2025-06-11 21:01:45.49776,2025-06-11 21:01:45.49776,t
96,Mumbai,Kurla,Kurla East,1500,3,Builder Floor,Semi-Furnished,20800000,13866.666666666666,CSV_Import,2025-06-11 21:01:45.497761,2025-06-11 21:01:45.497761,t
97,Mumbai,Vikhroli,Vikhroli West,2100,4,Independent House,Semi-Furnished,35800000,17047.619047619046,CSV_Import,2025-06-11 21:01:45.497762,2025-06-11 21:01:45.497762,t
98,Mumbai,Vikhroli,Vikhroli East,2000,4,Independent House,Unfurnished,32500000,16250,CSV_Import,2025-06-11 21:01:45.497763,2025-06-11 21:01:45.497763,t
99,Mumbai,Mulund,Mulund West,2200,4,Independent House,Semi-Furnished,32200000,14636.363636363636,CSV_Import,2025-06-11 21:01:45.497764,2025-06-11 21:01:45.497764,t
100,Mumbai,Mulund,Mulund East,2100,4,Independent House,Unfurnished,29500000,14047.619047619048,CSV_Import,2025-06-11 21:01:45.497765,2025-06-11 21:01:45.497766,t
101,Mumbai,Bhandup,Bhandup West,1800,3,Builder Floor,Unfurnished,24800000,13777.777777777777,CSV_Import,2025-06-11 21:01:45.497766,2025-06-11 21:01:45.497767,t
102,Mumbai,Bhandup,Bhandup East,1700,3,Builder Floor,Semi-Furnished,22500000,13235.29411764706,CSV_Import,2025-06-11 21:01:45.497767,2025-06-11 21:01:45.497767,t
103,Mumbai,Kanjurmarg,Kanjurmarg West,1900,3,Builder Floor,Semi-Furnished,26800000,14105.263157894737,CSV_Import,2025-06-11 21:01:45.497768,2025-06-11 21:01:45.497768,t
104,Mumbai,Kanjurmarg,Kanjurmarg East,1800,3,Builder Floor,Unfurnished,24500000,13611.111111111111,CSV_Import,2025-06-11 21:01:45.497769,2025-06-11 21:01:45.497769,t
105,Mumbai,Bandra,Bandra West,850,1,Apartment,Semi-Furnished,12500000,14705.882352941177,CSV_Import,2025-06-11 21:01:45.49777,2025-06-11 21:01:45.49777,t
106,Mumbai,Bandra,Bandra East,800,1,Apartment,Fully Furnished,11200000,14000,CSV_Import,2025-06-11 21:01:45.497771,2025-06-11 21:01:45.497771,t
107,Mumbai,Andheri,Andheri West,750,1,Apartment,Unfurnished,8800000,11733.333333333334,CSV_Import,2025-06-11 21:01:45.497772,2025-06-11 21:01:45.497772,t
108,Mumbai,Andheri,Andheri East,700,1,Apartment,Semi-Furnished,8200000,11714.285714285714,CSV_Import,2025-06-11 21:01:45.497773,2025-06-11 21:01:45.497773,t
109,Mumbai,Powai,Hiranandani Gardens,900,1,Apartment,Fully Furnished,13500000,15000,CSV_Import,2025-06-11 21:01:45.497774,2025-06-11 21:01:45.497775,t
110,Mumbai,Powai,Central Powai,850,1,Apartment,Semi-Furnished,12200000,14352.941176470587,CSV_Import,2025-06-11 21:01:45.497775,2025-06-11 21:01:45.497776,t
111,Mumbai,Thane,Ghodbunder Road,950,1,Apartment,Unfurnished,6200000,6526.315789473684,CSV_Import,2025-06-11 21:01:45.497776,2025-06-11 21:01:45.497777,t
112,Mumbai,Thane,Kasarvadavali,900,1,Apartment,Semi-Furnished,5800000,6444.444444444444,CSV_Import,2025-06-11 21:01:45.497778,2025-06-11 21:01:45.497778,t
113,Mumbai,Malad,Malad West,750,1,Apartment,Unfurnished,6800000,9066.666666666666,CSV_Import,2025-06-11 21:01:45.497779,2025-06-11 21:01:45.497779,t
114,Mumbai,Malad,Malad East,700,1,Apartment,Semi-Furnished,6200000,8857.142857142857,CSV_Import,2025-06-11 21:01:45.49778,2025-06-11 21:01:45.49778,t
115,Mumbai,Borivali,Borivali West,800,1,Apartment,Unfurnished,6500000,8125,CSV_Import,2025-06-11 21:01:45.497781,2025-06-11 21:01:45.497781,t
116,Mumbai,Borivali,Borivali East,750,1,Apartment,Semi-Furnished,6000000,8000,CSV_Import,2025-06-11 21:01:45.497782,2025-06-11 21:01:45.497783,t
117,Mumbai,Kandivali,Kandivali West,750,1,Apartment,Unfurnished,6200000,8266.666666666666,CSV_Import,2025-06-11 21:01:45.497783,2025-06-11 21:01:45.497784,t
118,Mumbai,Kandivali,Kandivali East,700,1,Apartment,Semi-Furnished,5800000,8285.714285714286,CSV_Import,2025-06-11 21:01:45.497784,2025-06-11 21:01:45.497785,t
119,Mumbai,Goregaon,Goregaon West,850,1,Apartment,Semi-Furnished,8800000,10352.941176470587,CSV_Import,2025-06-11 21:01:45.497785,2025-06-11 21:01:45.497786,t
120,Mumbai,Goregaon,Goregaon East,800,1,Apartment,Unfurnished,8200000,10250,CSV_Import,2025-06-11 21:01:45.497786,2025-06-11 21:01:45.497787,t
121,Mumbai,Jogeshwari,Jogeshwari West,700,1,Apartment,Unfurnished,6000000,8571.42857142857,CSV_Import,2025-06-11 21:01:45.497788,2025-06-11 21:01:45.497788,t
122,Mumbai,Jogeshwari,Jogeshwari East,650,1,Apartment,Semi-Furnished,5600000,8615.384615384615,CSV_Import,2025-06-11 21:01:45.497788,2025-06-11 21:01:45.497789,t
123,Mumbai,Vile Parle,Vile Parle West,800,1,Apartment,Semi-Furnished,9500000,11875,CSV_Import,2025-06-11 21:01:45.497789,2025-06-11 21:01:45.49779,t
124,Mumbai,Vile Parle,Vile Parle East,750,1,Apartment,Unfurnished,8800000,11733.333333333334,CSV_Import,2025-06-11 21:01:45.49779,2025-06-11 21:01:45.497791,t
125,Mumbai,Santacruz,Santacruz West,850,1,Apartment,Fully Furnished,11200000,13176.470588235294,CSV_Import,2025-06-11 21:01:45.497791,2025-06-11 21:01:45.497792,t
126,Mumbai,Santacruz,Santacruz East,800,1,Apartment,Semi-Furnished,10200000,12750,CSV_Import,2025-06-11 21:01:45.497793,2025-06-11 21:01:45.497793,t
127,Mumbai,Khar,Khar West,750,1,Apartment,Fully Furnished,12200000,16266.666666666666,CSV_Import,2025-06-11 21:01:45.497794,2025-06-11 21:01:45.497794,t
128,Mumbai,Khar,Khar East,700,1,Apartment,Semi-Furnished,11000000,15714.285714285714,CSV_Import,2025-06-11 21:01:45.497795,2025-06-11 21:01:45.497795,t
129,Mumbai,Juhu,Juhu Beach,950,1,Apartment,Fully Furnished,18500000,19473.684210526317,CSV_Import,2025-06-11 21:01:45.497796,2025-06-11 21:01:45.497796,t
130,Mumbai,Juhu,Juhu Scheme,900,1,Apartment,Semi-Furnished,16800000,18666.666666666668,CSV_Import,2025-06-11 21:01:45.497797,2025-06-11 21:01:45.497797,t
131,Mumbai,Versova,Versova Village,800,1,Apartment,Semi-Furnished,9200000,11500,CSV_Import,2025-06-11 21:01:45.497798,2025-06-11 21:01:45.497798,t
132,Mumbai,Versova,New Versova,750,1,Apartment,Unfurnished,8600000,11466.666666666666,CSV_Import,2025-06-11 21:01:45.497799,2025-06-11 21:01:45.497799,t
133,Mumbai,Lokhandwala,Lokhandwala Complex,850,1,Apartment,Fully Furnished,12800000,15058.823529411764,CSV_Import,2025-06-11 21:01:45.4978,2025-06-11 21:01:45.4978,t
134,Mumbai,Lokhandwala,New Lokhandwala,800,1,Apartment,Semi-Furnished,11800000,14750,CSV_Import,2025-06-11 21:01:45.497801,2025-06-11 21:01:45.497801,t
135,Mumbai,Worli,Lower Parel,1200,2,Apartment,Fully Furnished,32500000,27083.333333333332,CSV_Import,2025-06-11 21:01:45.497802,2025-06-11 21:01:45.497802,t
136,Mumbai,Worli,Worli Naka,1100,2,Apartment,Fully Furnished,28500000,25909.090909090908,CSV_Import,2025-06-11 21:01:45.497803,2025-06-11 21:01:45.497803,t
137,Mumbai,Prabhadevi,Prabhadevi Main,950,1,Apartment,Semi-Furnished,18200000,19157.894736842107,CSV_Import,2025-06-11 21:01:45.497804,2025-06-11 21:01:45.497804,t
138,Mumbai,Prabhadevi,Siddhivinayak,900,1,Apartment,Unfurnished,16500000,18333.333333333332,CSV_Import,2025-06-11 21:01:45.497805,2025-06-11 21:01:45.497805,t
139,Mumbai,Matunga,Matunga West,850,1,Apartment,Semi-Furnished,12200000,14352.941176470587,CSV_Import,2025-06-11 21:01:45.497806,2025-06-11 21:01:45.497806,t
140,Mumbai,Matunga,Matunga East,800,1,Apartment,Unfurnished,11200000,14000,CSV_Import,2025-06-11 21:01:45.497807,2025-06-11 21:01:45.497807,t
141,Mumbai,Dadar,Dadar West,800,1,Apartment,Semi-Furnished,13500000,16875,CSV_Import,2025-06-11 21:01:45.497808,2025-06-11 21:01:45.497808,t
142,Mumbai,Dadar,Dadar East,750,1,Apartment,Unfurnished,12500000,16666.666666666668,CSV_Import,2025-06-11 21:01:45.497809,2025-06-11 21:01:45.497809,t
143,Mumbai,Chembur,Chembur Colony,900,1,Apartment,Semi-Furnished,9800000,10888.888888888889,CSV_Import,2025-06-11 21:01:45.49781,2025-06-11 21:01:45.49781,t
144,Mumbai,Chembur,RCF Colony,850,1,Apartment,Unfurnished,9200000,10823.529411764706,CSV_Import,2025-06-11 21:01:45.497811,2025-06-11 21:01:45.497811,t
145,Mumbai,Ghatkopar,Ghatkopar West,850,1,Apartment,Semi-Furnished,8500000,10000,CSV_Import,2025-06-11 21:01:45.497812,2025-06-11 21:01:45.497812,t
146,Mumbai,Ghatkopar,Ghatkopar East,800,1,Apartment,Unfurnished,7800000,9750,CSV_Import,2025-06-11 21:01:45.497812,2025-06-11 21:01:45.497813,t
147,Mumbai,Kurla,Kurla West,750,1,Apartment,Unfurnished,6800000,9066.666666666666,CSV_Import,2025-06-11 21:01:45.497813,2025-06-11 21:01:45.497814,t
148,Mumbai,Kurla,Kurla East,700,1,Apartment,Semi-Furnished,6200000,8857.142857142857,CSV_Import,2025-06-11 21:01:45.497814,2025-06-11 21:01:45.497815,t
149,Mumbai,Vikhroli,Vikhroli West,900,1,Apartment,Semi-Furnished,9800000,10888.888888888889,CSV_Import,2025-06-11 21:01:45.497815,2025-06-11 21:01:45.497816,t
150,Mumbai,Vikhroli,Vikhroli East,850,1,Apartment,Unfurnished,9200000,10823.529411764706,CSV_Import,2025-06-11 21:01:45.497816,2025-06-11 21:01:45.497817,t
151,Mumbai,Mulund,Mulund West,950,1,Apartment,Semi-Furnished,8800000,9263.157894736842,CSV_Import,2025-06-11 21:01:45.497817,2025-06-11 21:01:45.497818,t
152,Mumbai,Mulund,Mulund East,900,1,Apartment,Unfurnished,8200000,9111.111111111111,CSV_Import,2025-06-11 21:01:45.497818,2025-06-11 21:01:45.497819,t
153,Mumbai,Bhandup,Bhandup West,850,1,Apartment,Unfurnished,7200000,8470.588235294117,CSV_Import,2025-06-11 21:01:45.497819,2025-06-11 21:01:45.49782,t
